vessel_id,vessel_type,vessel_name,dwt,displacement,length_pp,beam,mcr_kw,speed_knots,draft_ratio,wave_height_m,wind_speed_kmh,wind_angle_deg,calm_power_kw,wave_power_kw,wind_power_kw,total_power_kw,engine_load_pct,sfoc_g_kwh,fuel_burn_mt_per_day,corridor
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,15.62,0.86,0.35,2.81,10.5,43849.1,12.0,0.3,23100.0,105.0,188.26,104.374,Malta Channel
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,10.89,0.903,0.53,5.52,178.6,11655.5,2.9,-0.8,11657.6,64.76,177.11,49.553,Goa Coast
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,14.36,0.652,0.33,4.89,72.0,40557.4,11.5,0.5,33600.0,105.0,185.67,149.723,Western Mediterranean
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,14.1,0.857,0.33,5.08,30.7,24661.1,5.6,0.6,18900.0,105.0,188.13,85.334,Western Mediterranean
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,17.1,0.847,0.4,6.95,41.6,34953.3,6.1,0.6,14700.0,105.0,193.04,68.104,Singapore Strait
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,10.74,0.968,0.38,6.79,56.1,15078.8,7.8,1.1,15087.7,68.58,168.42,60.986,Malacca Strait Central
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,11.79,0.989,0.49,10.92,161.1,12360.6,1.9,-2.0,12360.5,88.29,176.67,52.408,Singapore Strait
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,17.23,0.946,0.48,6.42,105.6,61511.3,13.0,-0.5,23100.0,105.0,187.96,104.206,Shanghai Wusong
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,11.78,0.931,0.43,16.56,139.0,26105.0,7.6,-14.8,26097.8,81.56,169.79,106.346,Cape Finisterre Atlantic
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,15.9,0.676,1.89,30.97,155.4,31904.2,62.5,-24.1,18900.0,105.0,191.1,86.683,Bab-el-Mandeb Strait
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,11.17,0.78,2.0,35.35,106.4,15327.2,142.1,-15.1,15454.3,70.25,171.7,63.682,Sri Lanka Dondra Head
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,17.3,0.947,0.48,8.45,46.1,47772.2,13.5,1.4,18900.0,105.0,183.82,83.383,Northern Red Sea
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,15.47,0.689,1.34,22.79,161.2,29644.1,29.1,-13.6,18900.0,105.0,196.04,88.923,Gulf of Suez
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,12.25,0.794,0.49,8.41,13.9,20361.0,17.6,2.9,20381.6,92.64,171.75,84.015,Northern Red Sea
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,11.63,0.975,0.71,15.41,156.9,14713.8,6.3,-6.0,14714.1,81.75,169.0,59.682,Ras Tanura Terminal
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,11.35,0.775,0.91,15.16,116.6,12306.6,16.5,-2.8,12320.3,68.45,173.65,51.347,Taiwan Strait
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,12.94,0.757,0.36,11.1,87.3,31514.3,10.8,0.4,31525.5,98.52,175.67,132.915,Strait of Hormuz
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,12.03,0.845,0.41,5.74,45.7,15223.5,6.9,0.6,15231.0,84.62,173.46,63.409,Goa Coast
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,13.98,0.755,0.71,13.75,109.7,29657.0,21.5,-2.7,23100.0,105.0,185.63,102.911,Laccadive Sea / Arabian Basin
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,18.71,0.888,2.38,38.29,99.5,81245.6,335.8,-8.4,60900.0,105.0,184.16,269.173,Central Arabian Sea
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,15.83,0.733,1.01,18.1,113.8,42518.6,46.9,-5.7,23100.0,105.0,189.13,104.854,Gulf of Oman
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,12.76,0.715,1.06,27.71,122.0,29541.1,62.5,-29.1,29574.5,92.42,178.93,127.004,Gulf of Suez
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,14.08,0.729,0.81,14.37,124.4,22887.4,14.7,-3.2,18900.0,105.0,190.34,86.34,Taiwan Strait
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,12.88,0.69,2.24,38.77,46.4,29870.6,581.0,74.1,30525.7,95.39,175.2,128.354,Suez Canal Transit
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,16.22,0.844,1.18,20.54,16.8,48665.1,136.4,17.3,23100.0,105.0,183.43,101.694,Bay of Biscay
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,15.58,0.964,0.73,16.42,115.6,35194.7,15.0,-3.2,18900.0,105.0,191.96,87.072,Ras Tanura Terminal
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,11.63,0.964,1.31,18.83,18.3,14643.4,76.1,9.3,14728.8,81.83,170.82,60.383,Rotterdam Approaches
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,17.46,0.712,0.87,23.35,32.2,43163.1,48.6,12.7,18900.0,105.0,185.15,83.983,Bay of Biscay
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,12.66,0.84,1.25,26.17,45.1,17669.3,68.2,13.3,17750.8,98.62,181.69,77.405,Rotterdam Approaches
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,16.84,0.802,0.4,7.75,120.4,40784.3,4.5,-0.8,18900.0,105.0,188.76,85.62,Goa Coast
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,12.27,0.825,0.45,10.9,7.8,27887.4,24.8,8.4,27920.6,87.25,170.13,114.001,Northern Red Sea
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,16.33,0.655,0.52,6.59,174.0,47375.7,6.4,-1.5,47380.6,81.69,166.81,189.691,Southern Red Sea
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,11.03,0.757,1.97,34.94,87.4,11160.6,106.3,1.6,11268.5,62.6,172.5,46.652,Central Arabian Sea
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,14.49,0.684,2.16,46.75,25.2,19406.0,157.9,35.1,14700.0,105.0,186.17,65.68,Bab-el-Mandeb Strait
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,16.64,0.909,1.4,28.78,64.7,41682.0,98.3,9.8,18900.0,105.0,191.15,86.706,Strait of Gibraltar
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,16.57,0.97,3.73,55.27,143.7,42443.3,287.1,-67.9,18900.0,105.0,186.88,84.769,English Channel East
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,14.86,0.929,0.52,5.81,67.6,52415.0,31.0,0.9,33600.0,105.0,186.83,150.661,Malacca Strait Central
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,11.59,0.994,0.5,7.38,45.0,14684.6,10.1,1.1,14695.8,81.64,168.15,59.307,Shanghai Wusong
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,12.62,0.838,0.39,7.89,48.9,14001.0,4.1,0.7,14005.9,100.04,184.4,61.985,Southern Red Sea
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,16.7,0.895,0.35,9.01,174.5,58005.3,2.9,-2.8,58005.4,100.01,179.45,249.814,Strait of Hormuz
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,16.07,0.745,0.59,11.58,4.6,27405.5,13.7,2.4,14700.0,105.0,188.6,66.538,Ras Tanura Terminal
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,11.6,0.738,0.77,18.75,118.8,10259.2,7.4,-3.0,10263.6,73.31,176.87,43.567,Taiwan Strait
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,21.59,0.908,2.41,41.36,75.5,126241.7,506.5,14.9,60900.0,105.0,182.13,266.206,Central Arabian Sea
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,13.13,0.691,0.33,5.66,154.0,25140.5,2.3,-1.0,25141.8,43.35,192.14,115.937,Goa Coast
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,13.82,0.684,0.43,9.54,31.2,27481.4,14.7,3.3,23100.0,105.0,181.87,100.829,Northern Red Sea
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,14.95,0.666,0.4,7.68,90.6,21063.4,3.6,-0.0,14700.0,105.0,187.09,66.004,Goa Coast
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,14.62,0.707,1.27,31.95,4.8,44201.3,239.0,72.8,33600.0,105.0,188.18,151.748,Cape Comorin
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,14.51,0.695,4.3,63.66,112.7,32038.4,792.7,-66.7,23100.0,105.0,187.83,104.136,English Channel East
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,14.58,0.722,2.07,33.93,67.9,44236.0,489.4,31.0,33600.0,105.0,186.68,150.538,Central Arabian Sea
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,12.75,0.946,0.57,19.56,50.7,33431.5,36.3,17.3,33485.1,104.64,184.69,148.422,Taiwan Strait
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,15.38,0.87,0.9,18.91,144.6,42042.1,24.3,-12.5,23100.0,105.0,185.15,102.647,Taiwan Strait
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,15.44,0.997,1.55,28.1,139.8,60834.2,128.3,-43.1,33600.0,105.0,184.8,149.027,Cape Comorin
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,16.86,0.913,0.49,3.92,162.5,60241.3,6.0,-0.5,60246.8,103.87,186.25,269.298,Western Mediterranean
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,13.9,0.669,3.77,55.67,63.9,29443.7,877.6,47.5,30368.9,52.36,182.43,132.962,South China Sea
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,15.24,0.819,2.31,31.31,16.5,39785.1,493.9,40.2,23100.0,105.0,190.64,105.691,Eastern Mediterranean
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,21.52,0.923,0.34,10.88,175.4,125872.0,3.6,-4.1,60900.0,105.0,190.07,277.81,Singapore Strait
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,15.66,0.841,0.48,11.82,123.8,26775.0,3.6,-1.4,14700.0,105.0,191.07,67.408,Northern Red Sea
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,13.65,0.938,0.48,5.04,15.3,32412.8,17.1,0.9,32430.7,55.92,178.37,138.829,Malacca Strait Central
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,13.12,0.78,0.5,7.64,177.5,19038.8,3.2,-1.6,18900.0,105.0,186.71,84.692,Malacca Strait Central
